受注拠点CD,受注拠点名,受注事業部CD,受注事業部名,得意先CD,得意先名,品目CD,品目名,受注区分名,拠点,受注伝票№,行№,受注日,納期,受注数,単位名,仮単価区分名,受注単価,通貨名,受注金額,担当者CD,担当者名,受注区分,客先注番,先方品番,先方品名,規格,型式,受注製品名,サイズ１,サイズ２,サイズ３,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,品種CD,品種名,品目分類CDＡ,品目分類名Ａ,原価計算しない区分,品目分類名Ｂ,発注フラグ,品目分類名Ｃ,品目区分,品目区分名,入数,ケース数,バラ数,単価単位CD,仮単価区分,在庫単位CD,在庫単位名,在庫管理受注数,通貨CD,換算レート,換算受注金額,換算税抜受注金額,売上消費税率CD,売上消費税率名,受注消費税単価,受注消費税額,換算受注消費税額,表示用受注消費税額,表示用換算受注消費税額,標準原価単価,標準原価金額,粗利額,摘要１,その他テキスト１,受注承認状態区分,受注承認状態区分名,受注承認依頼日,受注承認担当者CD,受注承認担当者名,受注承認処理日,受注承認担当者CD２,受注承認担当者名２,受注承認処理日２
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157621,1,2019/08/26,2019/09/24,1.00,,,107000.00,円,107000.00,9131,ＬＰ大崎,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,107000.00,107000.00,1,外税消費税率-8%-10%,8560.00,8560.00,8560.00,8560.00,8560.00,10.00,10.00,106990.00,東 修理5036 N181 10 L1/216 張替,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157621,2,2019/08/26,2019/09/24,1.00,,,141000.00,円,141000.00,9131,ＬＰ大崎,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,141000.00,141000.00,1,外税消費税率-8%-10%,11280.00,11280.00,11280.00,11280.00,11280.00,10.00,10.00,140990.00,東 修理5036 N181 11 L1/216 張替,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157621,3,2019/08/26,2019/09/24,1.00,,,141000.00,円,141000.00,9131,ＬＰ大崎,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,141000.00,141000.00,1,外税消費税率-8%-10%,11280.00,11280.00,11280.00,11280.00,11280.00,10.00,10.00,140990.00,東 修理5036 N181 12 L1/216 張替,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157621,4,2019/08/26,2019/09/24,1.00,,,174000.00,円,174000.00,9131,ＬＰ大崎,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,174000.00,174000.00,1,外税消費税率-8%-10%,13920.00,13920.00,13920.00,13920.00,13920.00,10.00,10.00,173990.00,東 修理5036 N181 01 L1/216 張替,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157621,5,2019/08/26,2019/09/24,1.00,,,184000.00,円,184000.00,9131,ＬＰ大崎,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,184000.00,184000.00,1,外税消費税率-8%-10%,14720.00,14720.00,14720.00,14720.00,14720.00,10.00,10.00,183990.00,東 修理5036 R240 01 L1/216 張替,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157621,6,2019/08/26,2019/09/24,1.00,,,0.00,円,0.00,9131,ＬＰ大崎,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,10.00,10.00,-10.00,東 修理5036 CU FN 4545 L1/216 新規,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157630,1,2019/08/26,2019/10/01,2.00,,,41000.00,円,82000.00,0201,岩沢 順子,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,82000.00,82000.00,1,外税消費税率-8%-10%,3280.00,6560.00,6560.00,6560.00,6560.00,10.00,20.00,81980.00,東5005 P851 01 Ｔ9374に張替,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,0002       00001,0002,張替修理品,1,157750,1,2019/08/26,2019/09/25,2.00,,,28200.00,円,56400.00,0738,池田　聡,2,,,,0002                    0,0002,張替修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,56400.00,56400.00,1,外税消費税率-8%-10%,2256.00,4512.00,4512.00,4512.00,4512.00,10.00,20.00,56380.00,東5027　ﾗｲﾝD330　10　L3/517へ張替,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,AK-RG   30110033,AK-RG   301BL           220220,生産品,1,157720,1,2019/08/26,2019/10/05,1.00,,,103818.00,円,103818.00,0672,藤沢 文哉,0,,,,AK-RG   301BL           1,AK-RG   301 布　,ﾏﾙﾁｼｬｷﾞｰﾗｸﾞ ﾌﾞﾗｯｸ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,6,商品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,103818.00,103818.00,1,外税消費税率-8%-10%,8305.00,8305.00,8305.00,8305.00,8305.00,0.00,0.00,103818.00,納期問合わせ中,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
1,南濃工場,,,11,東京,BRU        6818     GY  0,BRU        6818     GY,生産品,1,157737,1,2019/08/26,2019/09/21,1.00,,,197200.00,円,197200.00,0672,藤沢 文哉,0,,,,BRU        6818     GY  0,BRU,BRT TVﾎﾞｰﾄﾞ180,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,197200.00,197200.00,1,外税消費税率-8%-10%,15776.00,15776.00,15776.00,15776.00,15776.00,118100.00,118100.00,79100.00,,,5,最終承認済,2019/08/26,,,2019/08/26,,,2019/08/26
