受注拠点CD,受注拠点名,受注事業部CD,受注事業部名,得意先CD,得意先名,品目CD,品目名,受注区分名,拠点,受注伝票№,行№,受注日,納期,受注数,単位名,仮単価区分名,受注単価,通貨名,受注金額,担当者CD,担当者名,受注区分,客先注番,先方品番,先方品名,規格,型式,受注製品名,サイズ１,サイズ２,サイズ３,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,品種CD,品種名,品目分類CDＡ,品目分類名Ａ,原価計算しない区分,品目分類名Ｂ,発注フラグ,品目分類名Ｃ,品目区分,品目区分名,入数,ケース数,バラ数,単価単位CD,仮単価区分,在庫単位CD,在庫単位名,在庫管理受注数,通貨CD,換算レート,換算受注金額,換算税抜受注金額,売上消費税率CD,売上消費税率名,受注消費税単価,受注消費税額,換算受注消費税額,表示用受注消費税額,表示用換算受注消費税額,標準原価単価,標準原価金額,粗利額,摘要１,その他テキスト１,受注承認状態区分,受注承認状態区分名,受注承認依頼日,受注承認担当者CD,受注承認担当者名,受注承認処理日,受注承認担当者CD２,受注承認担当者名２,受注承認処理日２
1,南濃工場,,,11,東京,0022       00002,0022,張替修理品,1,157595,1,2019/08/23,2019/09/18,1.00,,,18600.00,円,18600.00,0363,岡田 憲和,2,,,,0022                    0,0022,修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,18600.00,18600.00,1,外税消費税率-8%-10%,1488.00,1488.00,1488.00,1488.00,1488.00,10.00,10.00,18590.00,東№5033　N181 11 ｳﾚﾀﾝ交換,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,0022       00002,0022,張替修理品,1,157595,2,2019/08/23,2019/09/18,1.00,,,18600.00,円,18600.00,0363,岡田 憲和,2,,,,0022                    0,0022,修理品,0.00000,0.00000,0.00000,,,,,,,3,張替・修理,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,18600.00,18600.00,1,外税消費税率-8%-10%,1488.00,1488.00,1488.00,1488.00,1488.00,10.00,10.00,18590.00,東№5033　N181 12 ｳﾚﾀﾝ交換,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,AK-RG   20110069,AK-RG   201WHBL         170140,生産品,1,157568,1,2019/08/23,2019/09/18,1.00,,,64974.00,円,64974.00,0738,池田　聡,0,,,,AK-RG   201WHBL         1,AK-RG   201 布　,ﾊﾟﾀｰﾝﾗｸﾞ ﾄﾞｯﾄ ﾎﾜｲﾄﾌﾞﾗｯｸ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,6,商品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,64974.00,64974.00,1,外税消費税率-8%-10%,5198.00,5198.00,5198.00,5198.00,5198.00,0.00,0.00,64974.00,納期問合わせ中,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,CH1070  I  10012,CH1070  I  17           SP/183,生産品,1,157562,1,2019/08/23,2019/08/29,1.00,,,38500.00,円,38500.00,0363,岡田 憲和,0,,,,CH1070  I  17           1,CH1070  I   布　,ﾉﾄｽ　ｽﾂｰﾙ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,38500.00,38500.00,1,外税消費税率-8%-10%,3080.00,3080.00,3080.00,3080.00,3080.00,27700.00,27700.00,10800.00,17:残5　C:残4　納期確認済,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,CU      FN 12245,CU      FN 4545         T7183,生産品,1,157565,1,2019/08/23,2019/09/11,2.00,,,7503.00,円,15006.00,0738,池田　聡,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,15006.00,15006.00,1,外税消費税率-8%-10%,600.00,1200.00,1200.00,1200.00,1200.00,3560.00,7120.00,7886.00,T7183 1m売止済,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,CU      FN 12315,CU      FN 4545         #740071,生産品,1,157605,1,2019/08/23,2019/09/12,1.00,,,0.00,円,0.00,0753,横山 直美,0,250306927,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,支給布：BENFIT　9-7740-071　1.5m,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,D528       10032,D528       10       GY  38/2690,生産品,1,157603,5,2019/08/23,2044/12/31,4.00,,,52650.00,円,210600.00,0201,岩沢 順子,0,,,,D528       10       GY  1,D528        布　,ｶｽﾄｰﾙD ｱｰﾑﾚｽﾁｪｱ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,4.00,0,1.00000000,210600.00,210600.00,1,外税消費税率-8%-10%,4212.00,16848.00,16848.00,16848.00,16848.00,29756.00,119024.00,91576.00,№157603　N264同ﾛｯﾄ,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,D528       160      GY  0,D528       160      GY,生産品,1,157603,6,2019/08/23,2044/12/31,1.00,,,109200.00,円,109200.00,0201,岩沢 順子,0,,,,D528       160      GY  0,D528,ｶｽﾄｰﾙD ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,109200.00,109200.00,1,外税消費税率-8%-10%,8736.00,8736.00,8736.00,8736.00,8736.00,61000.00,61000.00,48200.00,,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,D795    N  10026,D795    N  01       NA  18/5166,生産品,1,157598,5,2019/08/23,2044/12/31,2.00,,,56430.00,円,112860.00,0570,米山 雅則,0,,,,D795    N  01       NA  1,D795    N   布　,ｶﾌﾙ ｱｰﾑﾁｪｱ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,112860.00,112860.00,1,外税消費税率-8%-10%,4514.00,9029.00,9029.00,9029.00,9029.00,0.00,0.00,112860.00,ﾗﾐﾈｰﾄ加工：決定時作成,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
1,南濃工場,,,11,東京,ELT001  N  11055    GS  0,ELT001  N  11055    GS,生産品,1,157603,4,2019/08/23,2044/12/31,1.00,,,94900.00,円,94900.00,0201,岩沢 順子,0,,,,ELT001  N  11055    GS  0,ELT001  N,ELT001 ｾﾝﾀｰﾃｰﾌﾞﾙ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,94900.00,94900.00,1,外税消費税率-8%-10%,7592.00,7592.00,7592.00,7592.00,7592.00,55500.00,55500.00,39400.00,,,5,最終承認済,2019/08/23,,,2019/08/23,,,2019/08/23
