受注拠点CD,受注拠点名,受注事業部CD,受注事業部名,得意先CD,得意先名,品目CD,品目名,受注区分名,拠点,受注伝票№,行№,受注日,納期,受注数,単位名,仮単価区分名,受注単価,通貨名,受注金額,担当者CD,担当者名,受注区分,客先注番,先方品番,先方品名,規格,型式,受注製品名,サイズ１,サイズ２,サイズ３,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,品種CD,品種名,品目分類CDＡ,品目分類名Ａ,原価計算しない区分,品目分類名Ｂ,発注フラグ,品目分類名Ｃ,品目区分,品目区分名,入数,ケース数,バラ数,単価単位CD,仮単価区分,在庫単位CD,在庫単位名,在庫管理受注数,通貨CD,換算レート,換算受注金額,換算税抜受注金額,売上消費税率CD,売上消費税率名,受注消費税単価,受注消費税額,換算受注消費税額,表示用受注消費税額,表示用換算受注消費税額,標準原価単価,標準原価金額,粗利額,摘要１,その他テキスト１,受注承認状態区分,受注承認状態区分名,受注承認依頼日,受注承認担当者CD,受注承認担当者名,受注承認処理日,受注承認担当者CD２,受注承認担当者名２,受注承認処理日２
1,南濃工場,,,11,東京,CU      FN 11932,CU      FN 4545         22/5609,生産品,1,152966,4,2019/05/29,2019/07/02,1.00,,,0.00,円,0.00,0672,藤沢 文哉,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,2600.00,2600.00,-2600.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,CU      FN 11960,CU      FN 4545         38/2550,生産品,1,152949,4,2019/05/29,2019/06/18,1.00,,,0.00,円,0.00,0738,池田　聡,0,9881,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,2727.00,2727.00,-2727.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,CU      FN 12179,CU      FN 4545         48/2200,生産品,1,152964,1,2019/05/29,2019/07/02,1.00,,,0.00,円,0.00,0672,藤沢 文哉,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,2894.00,2894.00,-2894.00,部材問合中　新布地,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,CU      FN 12253,CU      FN 4545         22/2802,生産品,1,152966,5,2019/05/29,2019/07/02,1.00,,,0.00,円,0.00,0672,藤沢 文哉,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,問合済　22/2802(新布)　№152538より切替,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N181    X  10235,N181    X  10           28/4160,生産品,1,152965,1,2019/05/29,2044/12/31,1.00,,,48950.00,円,48950.00,0941,黄地　由紀絵,0,250309329,,,N181    X  10           1,N181    X   布　,ﾘｽﾄﾝ 1Pｱｰﾑﾚｽｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,48950.00,48950.00,1,外税消費税率-8%-10%,3916.00,3916.00,3916.00,3916.00,3916.00,0.00,0.00,48950.00,No.152965　T725と同ﾛｯﾄ,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N181    X  10236,N181    X  11           28/4160,生産品,1,152965,2,2019/05/29,2044/12/31,1.00,,,63800.00,円,63800.00,0941,黄地　由紀絵,0,250309329,,,N181    X  11           1,N181    X   布　,ﾘｽﾄﾝ 1P片肘ｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,63800.00,63800.00,1,外税消費税率-8%-10%,5104.00,5104.00,5104.00,5104.00,5104.00,0.00,0.00,63800.00,No.152965　T725と同ﾛｯﾄ,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N181    X  10237,N181    X  12           28/4160,生産品,1,152965,3,2019/05/29,2044/12/31,1.00,,,63800.00,円,63800.00,0941,黄地　由紀絵,0,250309329,,,N181    X  12           1,N181    X   布　,ﾘｽﾄﾝ 1P片肘ｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,63800.00,63800.00,1,外税消費税率-8%-10%,5104.00,5104.00,5104.00,5104.00,5104.00,0.00,0.00,63800.00,No.152965　T725と同ﾛｯﾄ,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N181    X  10238,N181    X  01           28/4160,生産品,1,152965,4,2019/05/29,2044/12/31,1.00,,,79200.00,円,79200.00,0941,黄地　由紀絵,0,250309329,,,N181    X  01           1,N181    X   布　,ﾘｽﾄﾝ 1Pｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,79200.00,79200.00,1,外税消費税率-8%-10%,6336.00,6336.00,6336.00,6336.00,6336.00,0.00,0.00,79200.00,No.152965　T725と同ﾛｯﾄ,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N264       10284,N264       36           22/5507,生産品,1,152966,2,2019/05/29,2019/07/02,2.00,,,21120.00,円,42240.00,0672,藤沢 文哉,0,,,,N264       36           1,N264        布　,ﾌｨﾅﾝｼｪ 背ｸｯｼｮﾝ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,42240.00,42240.00,1,外税消費税率-8%-10%,1690.00,3379.00,3379.00,3379.00,3379.00,10650.00,21300.00,20940.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N264    AN 10258,N264    AN 49L          22/5507        1,生産品,1,152966,1,2019/05/29,2019/07/02,1.00,,,302720.00,円,302720.00,0672,藤沢 文哉,0,,,,N264    AN 49L          11,N264    AN  布　,ﾌｨﾅﾝｼｪ ｶｳﾁL,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,302720.00,302720.00,1,外税消費税率-8%-10%,24218.00,24218.00,24218.00,24218.00,24218.00,150467.00,150467.00,152253.00,1:ﾄﾗｲｱﾙ脚,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N528       12380,N528       36           38/2232,生産品,1,152949,2,2019/05/29,2019/06/18,2.00,,,15000.00,円,30000.00,0738,池田　聡,0,9881,,,N528       36           1,N528        布　,ｶｽﾄｰﾙ 背ｸｯｼｮﾝ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,30000.00,30000.00,1,外税消費税率-8%-10%,1200.00,2400.00,2400.00,2400.00,2400.00,5894.00,11788.00,18212.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N528       13499,N528       50       BW  22/5508,生産品,1,152949,1,2019/05/29,2019/06/18,1.00,,,150600.00,円,150600.00,0738,池田　聡,0,9881,,,N528       50       BW  1,N528        布　,ｶｽﾄｰﾙ ｶｳﾁ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,150600.00,150600.00,1,外税消費税率-8%-10%,12048.00,12048.00,12048.00,12048.00,12048.00,83953.00,83953.00,66647.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,N528       13576,N528       17       BW  22/5508,生産品,1,152949,3,2019/05/29,2019/06/18,1.00,,,67200.00,円,67200.00,0738,池田　聡,0,9881,,,N528       17       BW  1,N528        布　,ｶｽﾄｰﾙ ｽﾂｰﾙ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,67200.00,67200.00,1,外税消費税率-8%-10%,5376.00,5376.00,5376.00,5376.00,5376.00,39563.00,39563.00,27637.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,P226       10288,P226       01       DB  #1904,生産品,1,152943,1,2019/05/29,2019/06/22,1.00,,,0.00,円,0.00,0201,岩沢 順子,0,,,,P226       01       DB  1,P226        布　,ｾﾝｼｱ 1Pｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6/7着　ﾏﾅﾄﾚTAJ2219-04,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,P251       10293,P251       17       DB  #1904,生産品,1,152943,2,2019/05/29,2019/06/22,1.00,,,0.00,円,0.00,0201,岩沢 順子,0,,,,P251       17       DB  1,P251        布　,ｶﾉﾝ ｽﾂｰﾙ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,SLT003  N  140      NA  0,SLT003  N  140      NA,生産品,1,152947,1,2019/05/29,2044/12/31,1.00,,,73780.00,円,73780.00,1028,本間　妙,0,,,,SLT003  N  140      NA  0,SLT003  N,SLT003 ｾﾝﾀｰﾃｰﾌﾞﾙ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,,,,,6,商品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,73780.00,73780.00,1,外税消費税率-8%-10%,5902.00,5902.00,5902.00,5902.00,5902.00,35680.00,35680.00,38100.00,本間さん→横山さん在庫確認済,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,SLT528     40R      GY  0,SLT528     40R      GY,生産品,1,152966,3,2019/05/29,2019/07/02,1.00,,,54400.00,円,54400.00,0672,藤沢 文哉,0,,,,SLT528     40R      GY  0,SLT528,ｶｽﾄｰﾙ ﾘﾋﾞﾝｸﾞﾃｰﾌﾞﾙH,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,54400.00,54400.00,1,外税消費税率-8%-10%,4352.00,4352.00,4352.00,4352.00,4352.00,31900.00,31900.00,22500.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,T517       30027,T517       36           L3/513,生産品,1,152963,3,2019/05/29,2044/12/31,2.00,,,22000.00,円,44000.00,0755,長谷川 和人,0,250283480,,,T517       36           3,T517        革　,ｸｵｰﾄﾞ ｸｯｼｮﾝ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,44000.00,44000.00,1,外税消費税率-8%-10%,1760.00,3520.00,3520.00,3520.00,3520.00,12010.00,24020.00,19980.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,T517    N  30090,T517    N  06           L3/513,生産品,1,152963,1,2019/05/29,2044/12/31,1.00,,,211750.00,円,211750.00,0755,長谷川 和人,0,250283480,,,T517    N  06           3,T517    N   革　,ｸｵｰﾄﾞ 2P片肘ｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,211750.00,211750.00,1,外税消費税率-8%-10%,16940.00,16940.00,16940.00,16940.00,16940.00,0.00,0.00,211750.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,T517    N  30091,T517    N  49           L3/513,生産品,1,152963,2,2019/05/29,2044/12/31,1.00,,,313500.00,円,313500.00,0755,長谷川 和人,0,250283480,,,T517    N  49           3,T517    N   革　,ｸｵｰﾄﾞ ｶｳﾁｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,313500.00,313500.00,1,外税消費税率-8%-10%,25080.00,25080.00,25080.00,25080.00,25080.00,0.00,0.00,313500.00,,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,11,東京,T725    N  11008,T725    N  17L      DB  28/4160,生産品,1,152965,5,2019/05/29,2044/12/31,1.00,,,39600.00,円,39600.00,0941,黄地　由紀絵,0,250309329,,,T725    N  17L      DB  1,T725    N   布　,ﾌﾞﾙﾉ ｽﾂｰﾙL,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,39600.00,39600.00,1,外税消費税率-8%-10%,3168.00,3168.00,3168.00,3168.00,3168.00,20435.00,20435.00,19165.00,No.152965　N181と同ﾛｯﾄ,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,21,札幌,CH1069  S  10067,CH1069  S  02           SN/02          Z,生産品,1,152952,1,2019/05/29,2019/07/30,1.00,,,74000.00,円,74000.00,0942,藤谷 岳史,0,650893-3,,,CH1069  S  02           1Z,CH1069  S   布　,ｱﾆﾀ 2Pｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,74000.00,74000.00,1,外税消費税率-8%-10%,5920.00,5920.00,5920.00,5920.00,5920.00,0.00,0.00,74000.00,ﾊﾞｲｵｰﾀﾞｰ納期確認中,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,21,札幌,CH1070  I  10007,CH1070  I  03           SN/03,生産品,1,152953,1,2019/05/29,2019/06/25,1.00,,,84000.00,円,84000.00,0942,藤谷 岳史,0,650891-1,,,CH1070  I  03           1,CH1070  I   布　,ﾉﾄｽ　3Pｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,84000.00,84000.00,1,外税消費税率-8%-10%,6720.00,6720.00,6720.00,6720.00,6720.00,66800.00,66800.00,17200.00,03：6/1ETD(6/12入荷予定)ｶﾊﾞｰ残7,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,21,札幌,CH1070  I  10008,CH1070  I  03           SP/180,生産品,1,152950,2,2019/05/29,2019/06/11,1.00,,,89000.00,円,89000.00,0942,藤谷 岳史,0,649196-1~3,,,CH1070  I  03           1,CH1070  I   布　,ﾉﾄｽ　3Pｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,89000.00,89000.00,1,外税消費税率-8%-10%,7120.00,7120.00,7120.00,7120.00,7120.00,69000.00,69000.00,20000.00,S→Iへ変更　03：残1　ｶﾊﾞｰ残4,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,21,札幌,CH1070  S  10025,CH1070  S  17           SP/180,生産品,1,152950,1,2019/05/29,2019/06/11,1.00,,,35000.00,円,35000.00,0942,藤谷 岳史,0,649196-1~3,,,CH1070  S  17           1,CH1070  S   布　,CH1070 ｽﾂｰﾙ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,35000.00,35000.00,1,外税消費税率-8%-10%,2800.00,2800.00,2800.00,2800.00,2800.00,21315.00,21315.00,13685.00,NO.152819再OM　残2,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,21,札幌,CH232   IN 10006,CH232   IN 03           SN/02,生産品,1,152955,1,2019/05/29,2019/07/09,1.00,,,54000.00,円,54000.00,0942,藤谷 岳史,0,650898-3,,,CH232   IN 03           1,CH232   IN  布　,ﾚｺﾙﾀ2 3Pｿﾌｧ,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,54000.00,54000.00,1,外税消費税率-8%-10%,4320.00,4320.00,4320.00,4320.00,4320.00,41200.00,41200.00,12800.00,03：5/29入荷　ｶﾊﾞｰ6/1ETD(6/12入荷予定),,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,21,札幌,CH232   IN 10010,CH232   IN 37           SN/02,生産品,1,152955,2,2019/05/29,2019/07/09,2.00,,,0.00,円,0.00,0942,藤谷 岳史,0,650898-3,,,CH232   IN 37           1,CH232   IN  布　,ﾚｺﾙﾀ2 ｸｯｼｮﾝ大,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,4400.00,8800.00,-8800.00,37：OK　ｶﾊﾞｰ残10,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
1,南濃工場,,,21,札幌,CH271   I  10152,CH271   I  37           SN/03,生産品,1,152956,2,2019/05/29,2019/07/09,2.00,,,0.00,円,0.00,0942,藤谷 岳史,0,650897-3,,,CH271   I  37           1,CH271   I   布　,ﾏﾁﾙﾀﾞ ｸｯｼｮﾝ大,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,1,原価計算しない,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,3800.00,7600.00,-7600.00,37：OK　ｶﾊﾞｰOK,,5,最終承認済,2019/05/29,,,2019/05/29,,,2019/05/29
