受注日,受注番号,受注行番号,会計年月,事業所コード,事業所名,部門コード,部門名,担当者コード,担当者名,得意先コード,得意先名,発注者,受注区分,出荷売上区分,出荷売上区分名,納入先コード,納入先名,納入先正式名,納入先郵便番号1,納入先郵便番号2,納入先住所1,納入先住所2,納入先電話番号1-1,納入先電話番号1-2,納入先電話番号1-3,納入先電話番号2-1,納入先電話番号2-2,納入先電話番号2-3,出荷日,受注納期,売上予定日,請求先コード,請求先名,倉庫コード,倉庫名,出荷先倉庫コード,出荷先倉庫名,配送業者コード,配送業者名,納入区分,納入区分名,便指定,便指定名,ｾｯﾃｨﾝｸﾞ,ｾｯﾃｨﾝｸﾞ名,受注伝票摘要,請求備考,伝票得意先注文番号,専伝番号,案件番号,伝票単位出荷,品種分類コード,品種分類名,品種コード,品種名,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特区,商品コード,商品名,規格,O/P区分,O/P区分名,製造事業所コード,製造事業所名,商品ランク,商品ランク名,数量,単位名,商品消費税内外区分,上代単価,掛率,仮単価区分,売上単価,売上金額,売上消費税,原価金額,粗利金額,受注明細摘要,請求先消費税内外区分,明細得意先注文番号,分析集計1,分析集計1名,分析集計2,分析集計2名,分析集計3,分析集計3名,請求区分,帳端区分,回収予定日,サブシステム伝票番号,サブシステム行番号,見積番号,見積番号枝番,見積行番号,債権科目区分,債権科目区分名,セグメントコード１,セグメントコード１名,セグメントコード２,セグメントコード２名,セグメントコード３,セグメントコード３名,得意先部門CD,得意先部門名,部門グループ2分類コード,部門グループ2分類名,分析３コード,分析３コード名,分析４コード,分析４コード名,分析５コード,分析５コード名,出荷指示ステータス,出荷指示済数,出荷ステータス,出荷済数,売上ステータス,売上済数,承認ステータス,取消ステータス
2020/07/31,JUC000012074,1,2020/07,100,日本フクラ,0701,ＯＥＭ,9901,ＯＥＭ,070020,イトーキ,杉原,倉出受注,0,売上,7002001,寝屋川工場代表保管区,寝屋川工場代表保管区,572,0834,大阪府寝屋川市昭栄町17-5,,072,822,2356,,,,2020/09/03,2020/09/03,2020/09/03,070020,イトーキ,A10000,南濃倉庫,,,72,チャーター便3,07,工場ﾁｬｰﾀｰ便,,,2,なし,　　　　　　　　　　　JUC11567より切替,　　　　　　　　　　,153034725,,,,1,製品,0011,ソファ,LPP,,1002,,,C/C6,,,LPP     0000151,Pixel　背無ｼｰﾀ,LPP        1002         C/C6,1,オーダー,100,日本フクラ,0,A,9,ﾋﾟｰｽ,外税,0,0,正単価,8640,77760,7776,64692,13068,,外税,153034725,,,,,,,締請求,今回,2020/10/23,,0,,,,1130,売掛金,,,,,,,0701,ＯＥＭ,71,ＯＥＭ,,,,,,,,0,,0,,0,承認済,
2020/07/31,JUC000012075,1,2020/07,100,日本フクラ,0151,HUKLA大崎,9131,HUKLA大崎,017100,ＨＵＫＬＡ大崎,岡田,倉出受注,0,売上,999,夏目　恭行様,夏目　恭行様,240,0116,神奈川県三浦郡葉山町下山口1695-8,,090,9965,4281,,,,2020/08/26,2020/08/29,2020/08/26,017100,ＨＵＫＬＡ大崎,A10000,南濃倉庫,,,13,㈱三協運輸サービス神奈川,03,直送,,,1,あり,前日TEL要　掛替作業有　引取処分有(交換したｶﾊﾞｰ),夏目　恭行様,,7/30 ﾆｭｳｷﾝ,,,1,製品,0011,ソファ,T323,E,08,C,,18/3808,,,T323    0004172,ﾗｺﾝﾃ 3P片肘ｿﾌｧ ｶﾊﾞｰ,T323    E  08    C      18/3808,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,102000,100,正単価,102000,102000,10200,37777,64223,,外税,,,,,,,,締請求,今回,2020/09/30,,0,,,,1130,売掛金,,,,,,,0151,ＨＵＫＬＡ大崎,51,直販,,,,,,,,0,,0,,0,承認済,
2020/07/31,JUC000012079,1,2020/07,100,日本フクラ,0327,名古屋ハウジング,0983,伊藤 拓哉,036371,旭化成ホームズ名古屋,久保,倉出受注,0,売上,999,廣田和剛様・絵美様,廣田和剛様・絵美様,,,,,,,,,,,2020/08/04,2020/08/04,2020/08/04,036371,旭化成ホームズ名古屋,A10000,南濃倉庫,,,63,南濃工場営業引取,05,倉庫渡し,,,1,あり,色違いｸﾚｰﾑ,廣田　和剛様　絵美様,,555,,,2,商品,0014,ダイニングテーブル,D528,,180,T,GY,,,,D528    0000201,ｶｽﾄｰﾙD ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙT,D528       180   T  GY,2,プロパー,,,0,A,1,ﾋﾟｰｽ,外税,109000,55,正単価,59950,59950,5995,35702,24248,色違いｸﾚｰﾑ,外税,NN91094,,,,,,,締請求,今回,2020/09/30,,0,,,,1130,売掛金,,,,,,,0327,名古屋ハウジング,27,ハウジング,,,,,,,,0,,0,,0,承認済,
2020/07/31,JUC000012079,2,2020/07,100,日本フクラ,0327,名古屋ハウジング,0983,伊藤 拓哉,036371,旭化成ホームズ名古屋,久保,倉出受注,0,売上,999,廣田和剛様・絵美様,廣田和剛様・絵美様,,,,,,,,,,,2020/08/04,2020/08/04,2020/08/04,036371,旭化成ホームズ名古屋,A10000,南濃倉庫,,,63,南濃工場営業引取,05,倉庫渡し,,,1,あり,色違いｸﾚｰﾑ,廣田　和剛様　絵美様,,555,,,2,商品,0014,ダイニングテーブル,D528,,,F,,,,,D528    0000091,ｶｽﾄｰﾙD ﾀﾞｲﾆﾝｸﾞﾃｰﾌﾞﾙF,D528             F,2,プロパー,,,0,A,1,ﾋﾟｰｽ,外税,74000,55,正単価,40700,40700,4070,28411,12289,,外税,,,,,,,,締請求,今回,2020/09/30,,0,,,,1130,売掛金,,,,,,,0327,名古屋ハウジング,27,ハウジング,,,,,,,,0,,0,,0,承認済,
2020/07/31,JUC000012080,1,2020/07,100,日本フクラ,0127,東京ハウジング,0753,横山 直美,016440,大京穴吹不動産（東京）,,倉出受注,0,売上,999,長田様,長田様,351,0011,埼玉県朝霞市本町2-5-12,ﾗｲｵﾝｽﾞ朝霞本町ｽﾃｰｼｮﾝﾌﾟﾚｲｽ401号,048,234,9222,080,3404,5089,2020/08/04,2020/08/06,2020/08/04,016440,大京穴吹不動産,A10000,南濃倉庫,,,12,㈱三協運輸サービス越谷,03,直送,,,1,あり,前日TEL要　脚交換作業有　ﾋﾋﾞ割れｸﾚｰﾑ分　24Hｽｰﾊﾟｰ裏手15階建てﾏﾝｼｮﾝ,長田様,,,,,2,商品,0090,その他,9999,,,,,,,,9999    0000001,ﾗｺﾝﾃ　DB脚　×1本,ﾗｺﾝﾃ　DB脚　×1本,2,プロパー,,,0,A,1,ﾋﾟｰｽ,外税,0,65,正単価,0,0,0,0,0,ﾗｺﾝﾃ　DB脚　×1本,外税,,,,,,,,締請求,今回,2020/09/25,,0,,,,1130,売掛金,,,,,,,0127,東京ハウジング,27,ハウジング,,,,,,,済,1,,0,,0,承認済,
2020/07/31,JUC000012081,1,2020/07,100,日本フクラ,0701,ＯＥＭ,9901,ＯＥＭ,070020,イトーキ,杉原,倉出受注,0,売上,7002001,寝屋川工場代表保管区,寝屋川工場代表保管区,572,0834,大阪府寝屋川市昭栄町17-5,,072,822,2356,,,,2020/08/07,2020/08/07,2020/08/07,070020,イトーキ,A10000,南濃倉庫,,,72,チャーター便3,07,工場ﾁｬｰﾀｰ便,,,2,なし,　　　　　　　　　　　JUC11987より切替,　　　　　　　　　　,153035941,,,,1,製品,0011,ソファ,LPP,,2001,,,C/Q2,C/C6,,LPP     0000218,Pixel　背付1連ﾛｰﾊﾞｯｸ,LPP        2001         C/Q2   C/C6,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,0,0,正単価,15959,15959,1596,0,15959,,外税,153035941,,,,,,,締請求,今回,2020/09/23,,0,,,,1130,売掛金,,,,,,,0701,ＯＥＭ,71,ＯＥＭ,,,,,,,済,1,,0,,0,承認済,
2020/07/31,JUC000012082,1,2020/07,100,日本フクラ,0121,東京百貨店,0738,池田 聡,011041,西武池袋店,宮本,倉出受注,0,売上,10486,(株）西武百貨店　辰巳センター　3Ｆ,(株）西武百貨店　辰巳センター　3Ｆ,135,0053,東京都江東区辰巳３－１０－２３,西武運輸㈱辰巳総合物流センター(9-15時),03,3522,1614,,,,2020/08/22,2020/08/25,2020/08/22,011044,西武百貨店,A10000,南濃倉庫,,,12,㈱三協運輸サービス越谷,02,センター入れ,,,2,なし,1UG　板橋区　吉井様(8/29),板橋区　吉井様,4518,,,,1,製品,0011,ソファ,P231,S,01,,,28/4205,,,P231    0000215,ﾗｲﾑ 1Pｿﾌｧ(ｽﾗｲﾀﾞｰ),P231    S  01           28/4205,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,118000,58,正単価,68440,68440,6844,43703,24737,UG　28/4205：確認済,外税,4518,,,,,,,締請求,今回,2020/09/30,,0,,,,1130,売掛金,,,,,,,0121,東京百貨店,21,百貨店,,,,,,,,0,,0,,0,承認済,
2020/07/31,JUC000012083,1,2020/07,100,日本フクラ,0121,東京百貨店,0738,池田 聡,011231,高島屋東京,山口,倉出受注,0,売上,999,林様,,,,東京都渋谷区,,,,,,,,2020/09/09,2055/05/05,2020/09/09,011230,高島屋,A10000,南濃倉庫,,,12,㈱三協運輸サービス越谷,03,直送,,,1,あり,前日TEL要　●連待ち　BLS引取有,林様,,HOWS,,,2,商品,0015,ボード,BLS,W3,160GM,,BW,,,Z,BLS     0000017,BLS TVﾎﾞｰﾄﾞ,BLS     W3 160GM    BW                Z,2,プロパー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,0,60,正単価,0,0,0,0,0,納期9/3着　No.9662交換分　HAC000002800,外税,,,,,,,,締請求,今回,2020/10/15,,0,,,,1130,売掛金,,,,,,,0121,東京百貨店,21,百貨店,,,,,,,,0,,0,,0,承認済,
2020/07/31,JUC000012084,1,2020/07,100,日本フクラ,0524,大阪専門店,0341,西谷 務,053813,アクタス大阪空港店,サトウ,倉出受注,0,売上,10051,(株)アクタス大阪倉庫/大阪ターミナル,(株）アクタス大阪倉庫/大阪ターミナル,566,0044,大阪府摂津市西一津屋2-22遠州ﾄﾗｯｸ関西㈱内,9:00～16:00　(火休),06,4862,0077,,,,2020/09/08,2020/09/11,2020/09/08,013810,アクタス,A10000,南濃倉庫,,,53,朝日町運輸倉庫株式会社,02,センター入れ,,,2,なし,16時までに納品完了,,マ1315,マ1315,,,1,製品,0011,ソファ,CH351,A,50,C,,AP211,,,CH351   0000915,ﾄﾘﾉ ｶｳﾁｶﾊﾞｰ,CH351   A  50    C      AP211,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,0,60,正単価,21000,21000,2100,12645,8355,ｶﾊﾞｰのみ,外税,マ1315,,,,,,,締請求,今回,2020/10/31,,0,,,,1130,売掛金,,,,,,,0524,大阪専門店,24,専門店,,,,,,,,0,,0,,0,承認済,
2020/07/31,JUC000012084,2,2020/07,100,日本フクラ,0524,大阪専門店,0341,西谷 務,053813,アクタス大阪空港店,サトウ,倉出受注,0,売上,10051,(株)アクタス大阪倉庫/大阪ターミナル,(株）アクタス大阪倉庫/大阪ターミナル,566,0044,大阪府摂津市西一津屋2-22遠州ﾄﾗｯｸ関西㈱内,9:00～16:00　(火休),06,4862,0077,,,,2020/09/08,2020/09/11,2020/09/08,013810,アクタス,A10000,南濃倉庫,,,53,朝日町運輸倉庫株式会社,02,センター入れ,,,2,なし,16時までに納品完了,,マ1315,マ1315,,,1,製品,0011,ソファ,CH351,A,06,C,,AP211,,,CH351   0000917,ﾄﾘﾉ 2P片肘ｿﾌｧｶﾊﾞｰ,CH351   A  06    C      AP211,1,オーダー,100,日本フクラ,0,A,1,ﾋﾟｰｽ,外税,0,60,正単価,20000,20000,2000,14960,5040,ｶﾊﾞｰのみ,外税,マ1315,,,,,,,締請求,今回,2020/10/31,,0,,,,1130,売掛金,,,,,,,0524,大阪専門店,24,専門店,,,,,,,,0,,0,,0,承認済,
