受注拠点CD,受注拠点名,受注事業部CD,受注事業部名,得意先CD,得意先名,品目CD,品目名,受注区分名,拠点,受注伝票№,行№,受注日,納期,受注数,単位名,仮単価区分名,受注単価,通貨名,受注金額,担当者CD,担当者名,受注区分,客先注番,先方品番,先方品名,規格,型式,受注製品名,サイズ１,サイズ２,サイズ３,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,品種CD,品種名,品目分類CDＡ,品目分類名Ａ,原価計算しない区分,品目分類名Ｂ,発注フラグ,品目分類名Ｃ,品目区分,品目区分名,入数,ケース数,バラ数,単価単位CD,仮単価区分,在庫単位CD,在庫単位名,在庫管理受注数,通貨CD,換算レート,換算受注金額,換算税抜受注金額,売上消費税率CD,売上消費税率名,受注消費税単価,受注消費税額,換算受注消費税額,表示用受注消費税額,表示用換算受注消費税額,標準原価単価,標準原価金額,粗利額,摘要１,その他テキスト１,受注承認状態区分,受注承認状態区分名,受注承認依頼日,受注承認担当者CD,受注承認担当者名,受注承認処理日,受注承認担当者CD２,受注承認担当者名２,受注承認処理日２
1,南濃工場,,,11,東京,AK-RG   23 10073,AK-RG   23 GYBR         200140,生産品,1,154856,1,2019/07/02,2019/07/23,1.00,,,70560.00,円,70560.00,0941,黄地　由紀絵,0,250298986,,,AK-RG   23 GYBR         1,AK-RG   23  布　,ﾘﾘｱﾝﾗｸﾞⅡ ｸﾞﾚｰ×ﾌﾞﾗｳﾝ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,1,原価計算しない,,,6,商品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,70560.00,70560.00,1,外税消費税率-8%-10%,5645.00,5645.00,5645.00,5645.00,5645.00,40600.00,40600.00,29960.00,納期問合わせ中,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,BLS     W  00001,BLS     W  7501     BW                 Z,生産品,1,154806,1,2019/07/02,2019/08/29,1.00,,,220720.00,円,220720.00,1028,本間　妙,0,,,,BLS     W  7501     BW  Z,BLS     W,BLS ｻｲﾄﾞﾎﾞｰﾄﾞ,0.00000,0.00000,0.00000,,,,,,,2,仕入商品,,,,,,,6,商品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,220720.00,220720.00,1,外税消費税率-8%-10%,17658.00,17658.00,17658.00,17658.00,17658.00,127600.00,127600.00,93120.00,ﾊﾞｲｵｰﾀﾞｰ　納期確認中,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 10362,CU      FN 4545         18/1356,生産品,1,154798,2,2019/07/02,2019/09/18,2.00,,,5460.00,円,10920.00,0755,長谷川 和人,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,2.00,0,1.00000000,10920.00,10920.00,1,外税消費税率-8%-10%,437.00,874.00,874.00,874.00,874.00,2465.00,4930.00,5990.00,部材問合わせ済:18/1356,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 10630,CU      FN 5555         28/2525,生産品,1,154800,1,2019/07/02,2019/07/19,1.00,,,9035.00,円,9035.00,0570,米山 雅則,0,,,,CU      FN 5555         1,CU      FN  布　,CUｸｯｼｮﾝ 55F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,9035.00,9035.00,1,外税消費税率-8%-10%,723.00,723.00,723.00,723.00,723.00,3173.00,3173.00,5862.00,,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 10742,CU      FN 4545         18/3919,生産品,1,154845,1,2019/07/02,2019/07/19,1.00,,,5040.00,円,5040.00,1028,本間　妙,0,60070,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,5040.00,5040.00,1,外税消費税率-8%-10%,403.00,403.00,403.00,403.00,403.00,2545.00,2545.00,2495.00,,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 10869,CU      FN 4545         28/4106,生産品,1,154800,3,2019/07/02,2019/07/19,1.00,,,7150.00,円,7150.00,0570,米山 雅則,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,7150.00,7150.00,1,外税消費税率-8%-10%,572.00,572.00,572.00,572.00,572.00,2884.00,2884.00,4266.00,,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 11286,CU      FN 4545         22/2601,生産品,1,154798,1,2019/07/02,2019/09/18,1.00,,,5850.00,円,5850.00,0755,長谷川 和人,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,5850.00,5850.00,1,外税消費税率-8%-10%,468.00,468.00,468.00,468.00,468.00,2514.00,2514.00,3336.00,,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 11286,CU      FN 4545         22/2601,生産品,1,154800,2,2019/07/02,2019/07/19,1.00,,,5850.00,円,5850.00,0570,米山 雅則,0,,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,5850.00,5850.00,1,外税消費税率-8%-10%,468.00,468.00,468.00,468.00,468.00,2514.00,2514.00,3336.00,,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 11646,CU      FN 5050         38/2238,生産品,1,154803,1,2019/07/02,2055/12/31,1.00,,,9035.00,円,9035.00,0570,米山 雅則,0,,,,CU      FN 5050         1,CU      FN  布　,CUｸｯｼｮﾝ 50F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,9035.00,9035.00,1,外税消費税率-8%-10%,723.00,723.00,723.00,723.00,723.00,3209.00,3209.00,5826.00,,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
1,南濃工場,,,11,東京,CU      FN 11919,CU      FN 4545         38/2554,生産品,1,154843,3,2019/07/02,2044/12/31,1.00,,,0.00,円,0.00,0755,長谷川 和人,0,250311227,,,CU      FN 4545         1,CU      FN  布　,CUｸｯｼｮﾝ 45F,0.00000,0.00000,0.00000,,,,,,,0,製造品,,,,,,,1,製品,0.00,0,0.00,01,0,01,,1.00,0,1.00000000,0.00,0.00,1,外税消費税率-8%-10%,0.00,0.00,0.00,0.00,0.00,2698.00,2698.00,-2698.00,,,5,最終承認済,2019/07/02,,,2019/07/02,,,2019/07/02
